Sample,treatment,log_concen
ut1,untreated,8.222663818
ut2,untreated,7.798863088
ut3,untreated,8.14575453
leeb1,250keV,4.807826623
leeb2,250keV,4.207847426
leeb3,250keV,5.118061091
dose0,dose0,7.813243996
dose0,dose0,7.727213247
dose0,dose0,7.706656833
dose1,dose1,6.592514673
dose1,dose1,6.312344279
dose1,dose1,6.359076226
dose3,dose3,4.3812849
dose3,dose3,4.142840495
dose3,dose3,4.324040239
dose5,dose5,2.556302501
dose5,dose5,1.950781977
dose5,dose5,1.948204554
dose10,dose10,1.953374788
dose10,dose10,1.954242509
dose10,dose10,1.953374788
